Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Sierra Leone,SLE,443414229.649817,579938746.308748,471131820.296755,606715819.703516,659684949.508888,631784656.51421,719295168.985858,648834937.848521,455102441.819561,517913411.538253,490407989.006319,912341281.46297,1048688957.09791,1103769134.06771,1174000658.43938,1360125944.62324,1586543880.29614,1915090294.01725,2302962087.28223,2268666961.56214,2237782095.13964,2480971831.53967,3423910967.20351,4335850728.80372,4296266934.41116,3571359705.49504,2682110683.55438,3044179636.59637,3304164055.99951,3548194134.61552,3463442966.32605,3449813486.39275,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Singapore,SGP,30589761424.8446,38255707795.724,44567575017.1377,50503174228.4959,63880306924.3931,77250074985.9991,83369861077.2253,89617062956.5492,74506491078.8047,74105054153.6544,81689371443.1551,74821348060.9398,75334726282.0161,78404138503.8477,89158833073.9072,100415541395.997,122938231877.625,151237701012.14,157036480991.075,152969410366.918,204483987488.226,231597329684.185,240708642585.747,246827310017.442,258485853788.003,239432352811.545,249606217503.761,264946106350.492,270692169556.648,263598529577.358,232324806977.306,276441220735.455,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Slovak Republic,SVK,..,..,..,..,..,16915105861.6077,19107969004.1337,19317915015.4327,21238759076.6508,21633124454.8244,20664269293.456,22423938679.7933,26033424249.2961,33014609269.4404,42173769782.3023,47927054278.7639,54869138044.192,68340740893.4183,80754991344.4225,71542940464.5085,72674385062.6664,78696197511.9324,76350742253.4976,80562431640.2256,82514301615.0633,71566116397.4438,72101649693.8106,77501395416.3677,86557273960.0762,85375444090.6831,86659509831.9093,94707685029.4946,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Slovenia,SVN,..,..,..,..,..,17642972376.0032,17533023039.7644,16893210345.3812,17946465639.856,18525615540.3475,16216817112.0458,16794680889.1634,18856786959.2734,23778324413.4005,27429163385.2525,28968254203.753,31590145422.0422,38279157391.3554,44236309255.8266,39849412343.6358,37901850916.4051,40461299931.1382,35958281523.5712,37458819962.7476,39072328485.6704,32810818836.4785,34571099506.4144,38218334453.1098,43089724466.9656,43437488660.6018,42775346262.1763,49526101070.4341,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Solomon Islands,SLB,196980012.740875,204433223.181099,242160538.428139,277797710.06184,372280658.457884,425768161.445426,462595141.627124,476184178.91493,410001363.654331,426539366.168189,381679813.870116,374868324.793916,311253956.086861,382177670.888978,432839682.489005,503386422.142107,555565358.414945,606686951.947114,658203517.535181,681789327.245564,775140217.796207,870355030.499194,994282594.159119,1169175418.71871,1203350922.60793,1178042357.38067,1226274110.70919,1313702710.93922,1457210983.41253,1467036932.8664,1437751517.25215,1505399373.49303,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Somalia,SOM,664603770.921377,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3419849257.2506,3733787360.60774,3925747293.08574,4033585271.41726,4134581303.12789,4723036573.01392,5296090058.41213,5539399204.97174,6155445283.03518,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Africa,ZAF,97959729216.0107,107454600832.597,118924532521.794,120440786353.661,126083665462.661,142277234694.644,134806668745.649,140458314928.722,127123725365.502,125775481834.557,125268249716.005,109995972981.918,106116993827.102,164253024947.892,213479648555.331,241607385178.952,252244266956.553,269519968357.212,243666302859.791,269132297089.488,337741371297.597,367431644394.668,350323870343.88,322009996355.505,309055651991.273,286512572884.149,264150916540.265,311853811186.24,329150364059.474,316519190735.271,273913960042.284,339552672450.42,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3068090191.92848,10421618352.2802,15145557127.2605,8927272471.17022,8655235712.47203,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Spain,ESP,466090354974.956,502304385397.896,548867498360.127,456058105201.025,453897753243.913,534222565256.128,554470881996.798,509684851458.956,535930038843.233,549969018708.544,518364988477.591,539794333354.464,610139341316.796,782479076324.988,917478062627.017,982627852842.189,1066885952226.05,1238195819684.27,1360177688877.87,1244313133361.63,1187073748519.83,1225252101551.78,1102263406732.79,1130386010410.46,1148091269691.01,1008618635620.11,1045414163794.52,1112397761114.54,1206985936719.17,1184303868110.12,1057281180428.21,1191011399598.2,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Sri Lanka,LKA,7636421690.14548,8494339520.24434,9221711490.19108,9836363273.25754,11059112682.1879,12198585838.0091,12990592786.2439,14169388875.8013,14566826711.3729,14398508536.1505,15012707812.1137,14624637906.5935,15421206917.8058,17725448503.2491,19279545006.5641,22683321043.9098,26148292141.9034,30006922204.6105,37207806700.0471,39095005629.8517,54408057930.3145,62684111325.4287,64600135304.1871,69880527349.8842,74624464524.9212,77120577630.7356,79670269196.9178,85121595616.7042,85294116836.3203,80057332389.295,76513221048.3281,80018415420.4858,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,St. Lucia,LCA,493244345.429868,522180432.122461,581481203.541196,585695242.797914,611366526.25238,652520922.736804,683869202.218584,692059408.912232,748975738.779977,786499924.111435,839722306.747924,786308396.539207,800196844.44083,872657610.583905,931277093.09365,986478250.056693,1085435460.88233,1146578929.65334,1224664336.28567,1203744310.81216,1219395050.44032,1334842485.98174,1310493042.85012,1283388999.18741,1365613966.33514,1324575104.87905,1419675223.53602,1501396916.31893,1618635196.02582,1625946752.97464,1246308827.52173,1366615021.79032,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,St. Vincent and the Grenadines,VCT,221159517.024938,235547823.007449,261685844.914241,269222887.857354,269306774.986988,294881929.48258,312008398.26082,323461879.097306,346070302.182289,355414375.719799,394365515.539407,425625413.115006,448394821.882432,461263384.700282,491509740.315858,517412969.012875,578543704.533764,638262676.995999,646141094.653508,622946881.837714,605542890.102726,581076000.060496,595188341.26813,624998655.928898,607281265.706589,647038947.434155,676574176.915899,704672569.690351,738951949.090529,752856023.938336,723205785.248062,749251352.166321,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59920693438.4986,54296648798.1002,55536789622.2187,69120396423.3919,76066047561.646,92667786151.7674,114709214148.633,27747607132.2593,27327201501.4205,22706140260.7153,28763839534.6075,..,..
